timesteps,metric_1_name,metric_2_name,metric_1,metric_2,crying babies passed,sleeping babies passed,seed,episode,model,env_name
14,crying babies passed,sleeping babies passed,5,3,5,3,42,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,43,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,44,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,4,2,4,45,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,5,2,5,46,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,47,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,3,3,3,48,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,49,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,50,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,2,3,2,51,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,52,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,53,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,3,3,3,54,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,55,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,5,4,5,4,56,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,2,2,2,57,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,4,2,4,58,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,5,4,5,4,59,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,60,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,61,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,3,4,3,62,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,63,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,64,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,65,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,66,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,5,2,5,67,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,1,4,1,4,68,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,2,2,2,69,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,4,2,4,70,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,71,5,GPT-4o-mini,FindMilk
15,crying babies passed,sleeping babies passed,2,3,2,3,72,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,3,4,3,73,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,2,3,2,74,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,75,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,1,4,1,4,76,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,77,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,5,4,5,78,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,79,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,2,3,2,80,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,3,4,3,81,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,82,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,83,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,84,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,5,4,5,85,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,3,3,3,86,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,3,4,3,87,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,2,4,2,4,88,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,4,3,4,89,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,2,3,2,90,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,5,3,5,91,5,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,5,1,5,1,42,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,2,3,2,43,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,2,4,2,44,10,GPT-4o-mini,FindMilk
15,crying babies passed,sleeping babies passed,5,2,5,2,45,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,3,3,3,3,46,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,2,4,2,47,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,1,4,1,48,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,49,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,5,3,5,3,50,10,GPT-4o-mini,FindMilk
15,crying babies passed,sleeping babies passed,5,2,5,2,51,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,4,4,4,52,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,3,4,3,53,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,4,2,4,2,54,10,GPT-4o-mini,FindMilk
14,crying babies passed,sleeping babies passed,5,1,5,1,55,10,GPT-4o-mini,FindMilk
